year,bottom_90,top_10,top_05,top_01,top_005,top_001,top_0001
1913,,,,3089861,5504105,15815054,61858846
1914,,,,3114119,5556658,15681482,64825108
1915,,,,3292592,5902050,17535417,83743084
1916,,,,3279924,5701187,19030309,87648825
1917,15770,550816,932570,2845905,4826626,15241503,65342086
1918,14976,471385,784210,2266453,3658809,10690475,42644449
1919,13708,474539,803919,2390050,3870981,11050286,41502767
1920,13233,404633,657222,1864459,2962169,7832231,26518281
1921,14330,441961,719195,2052451,3268635,8609432,28004262
1922,15078,498642,827133,2479892,4001543,10892871,38228038
1923,14607,502179,804031,2201636,3537084,9448237,32737195
1924,13837,520187,841047,2372097,3830717,10321318,35949128
1925,13258,554746,954274,2902170,4668014,12565069,45272336
1926,13047,574212,1002008,3121043,5043657,14019361,51954524
1927,13106,614397,1074088,3622289,5896719,16581402,62506985
1928,14259,696319,1222175,4239529,6978208,20300789,80499964
1929,14949,720117,1265902,4320581,7129670,21187012,87122922
1930,14453,663982,1186222,3887022,6350595,18241295,71139213
1931,12748,583621,1032821,3349719,5413322,15098589,57137947
1932,11307,533678,943957,2988786,4961205,14244773,47742863
1933,11773,562313,1000194,3145920,5161496,14827493,51893168
1934,13219,562100,1000500,3215644,5348899,14833217,50417469
1935,14895,577548,1022301,3221752,5361008,14777264,50046751
1936,16556,659415,1162573,3653504,6024716,16142765,52951239
1937,17334,619959,1059245,3516300,5678024,15315676,51532866
1938,16825,594411,987211,3033033,4787306,12523804,43501185
1939,16976,613617,1028732,3214765,5091671,13360246,44701874
1940,19079,593976,978023,2904208,4552950,11742179,39647744
1941,19428,559101,911014,2571458,3945518,9829668,32503462
1942,20080,532924,862619,2469401,3789753,9267336,29158911
1943,21254,579479,948933,2701767,4088468,9763997,28287762
1944,24421,654534,1077304,3013186,4516565,10643095,33276596
1945,27381,748460,1241068,3422185,5082410,11808764,34946471
1946,27401,723933,1181894,3089338,4554560,10590449,33405068
1947,28447,692140,1118886,2866400,4236794,9933983,31725344
1948,29884,687005,1102177,2860336,4253772,9867729,30386935
1949,31554,699391,1105970,2857265,4243026,9828983,30533201
1950,32072,726484,1163284,3099228,4602382,10747060,28459454
1951,32485,731192,1171170,3071623,4532704,10369344,31774097
1952,33934,752490,1197248,3141973,4607442,10521353,32295198
1953,35265,751841,1185024,3029143,4431830,10097681,31516399
1954,36118,778849,1216631,3181293,4638439,10493473,32183885
1955,37617,827556,1283046,3389182,4899747,11362032,35874630
1956,38208,854538,1341262,3525511,5180992,11938489,37913863
1957,37401,857243,1364677,3483251,5121986,11831525,37546647
1958,38459,879542,1395900,3536499,5179538,11918446,37759563
1959,39396,933109,1493096,3787002,5570448,12653939,39536378
1960,39893,955168,1526064,3860717,5667455,13262122,43297040
1961,40802,989116,1566448,3993908,5814877,13581224,44268917
1962,40771,1024290,1621028,4120948,6041256,14044418,45604360
1963,41911,1026989,1620000,4084016,5957696,13917627,46261032
1964,44008,1052092,1654094,4134221,6000036,14087747,47948735
1965,46743,1090380,1706149,4298616,6275473,14940702,50265734
1966,47862,1089685,1696812,4309994,6329291,15275869,50813132
1967,50510,1102394,1702746,4326852,6291452,14640299,47519083
1968,54114,1162294,1838466,4723493,6937377,16486621,54180221
1969,54449,1149432,1765905,4570511,6744774,16361898,56069831
1970,52254,1097463,1715680,4319772,6237128,14838733,49948445
1971,52577,1098378,1699219,4241525,6156176,14494641,46707226
1972,56180,1160663,1792589,4414822,6342548,14535005,48388919
1973,57764,1160690,1771819,4177379,5898109,13392418,41392301
1974,53296,1044223,1582401,3790814,5439352,12119451,36893236
1975,51383,992147,1516649,3594890,5080905,11050569,35143049
1976,55081,1039479,1550126,3601588,5048056,11033508,34971938
1977,57267,1055210,1609592,3754698,5276933,11515706,35951244
1978,58946,1066312,1577152,3663275,5151356,11292744,35417571
1979,59694,1111715,1683262,4016875,5715638,13010323,43400723
1980,62433,1147563,1733841,4161007,5959876,13708193,44446068
1981,62815,1145368,1747416,4326028,6327552,14994320,51338227
1982,64736,1126599,1724946,4386376,6505639,16094031,55566796
1983,67837,1134048,1722844,4312954,6364232,15593067,54256476
1984,70831,1152291,1752652,4440246,6612851,16657411,60172147
1985,76222,1202966,1837467,4736191,7128559,18247358,67454780
1986,82184,1293153,1977804,5103983,7653535,18890918,69257890
1987,83967,1358390,2093291,5530257,8340522,21458050,78897973
1988,83402,1414918,2202696,6049208,9313103,25187347,96041513
1989,86446,1459787,2271774,6222661,9585856,25736981,96986414
1990,84968,1466986,2283610,6277105,9705220,26088582,99489220
1991,86028,1469833,2288835,6197273,9456586,25082169,95441054
1992,84112,1543581,2423718,6716113,10380723,28055697,111302552
1993,84642,1579136,2482542,6896340,10672707,29177185,116624468
1994,86115,1600622,2516390,6929076,10671447,28745438,111774617
1995,88690,1666016,2619377,7260852,11220622,30420912,119145491
1996,92303,1767889,2793405,7867302,12262337,34189955,139909345
1997,96719,1902262,3022891,8661191,13610244,38651920,158129048
1998,104474,2109370,3379542,9847263,15517140,44277613,180812703
1999,114340,2346904,3782500,11242306,17781891,50740777,209850085
2000,116025,2418869,3922649,11826127,18920972,55374904,239646254
2001,113238,2290086,3690055,10998886,17568698,51987995,231414412
2002,107977,2165055,3464151,10045140,15838592,45631780,197558933
2003,109405,2219631,3554691,10348515,16280264,47013076,208341750
2004,117930,2473229,3991833,11853626,18864147,55213950,248093391
2005,127625,2672611,4321743,12983416,20869304,62274701,283344732
2006,130182,2821808,4591823,13936325,22421597,66962084,306177422
2007,125668,2857176,4670325,14337926,23173750,70475224,337520129
2008,96960,2566882,4222565,13115936,21329863,65264962,315369915
2009,85198,2309706,3786175,11643592,18853962,58050295,295927584
2010,85871,2412405,3987729,12589024,20663290,65959953,343177760
2011,85851,2443659,4051141,12801254,20916982,65403758,325458892
2012,83683,2555924,4277897,13839846,22845142,72825966,371244323